FACILITY_ID,FACILITY_NAME,ADDRESS,CITYTOWN,STATE,ZIP_CODE,COUNTY_PARISH,TELEPHONE_NUMBER,HOSPITAL_TYPE,HOSPITAL_OWNERSHIP,EMERGENCY_SERVICES,BIRTHING_FRIENDLY_HOSPITAL,LATITUDE,LONGITUDE
400125,HIMA-SAN PABLO FAJARDO,GENERAL VALERO AVE#404,FAJARDO,PR,00738,FAJARDO,(787) 655-0505,Acute Care Hospitals,Proprietary,TRUE,TRUE,,
400141,CENTRO MEDICO DEL NORESTE,404 AVE GENERAL VALERO,FAJARDO,PR,00738,FAJARDO,(787) 863-0505,Acute Care Hospitals,Proprietary,TRUE,FALSE,,
400133,HIMA SAN PABLO CUPEY,CARR 844 KM 5 CUPEY BAJO,SAN JUAN,PR,00928,SAN JUAN,(787) 761-8383,Acute Care Hospitals,Proprietary,TRUE,TRUE,,
224046,MIRAVISTA BEHAVIORAL HEALTH CENTER,1233 MAIN STREET,HOLYOKE,MA,01040,HAMPDEN,(413) 701-2600,Psychiatric,Proprietary,FALSE,FALSE,,
223303,SHRINERS' HOSPITAL FOR CHILDREN (THE),516 CAREW STREET,SPRINGFIELD,MA,01104,HAMPDEN,(413) 787-2000,Childrens,Voluntary non-profit - Private,FALSE,FALSE,,
200019,SOUTHERN MAINE HEALTH CARE,1 MEDICAL CENTER DRIVE,BIDDEFORD,ME,04005,YORK,(207) 283-7000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,,
200037,FRANKLIN MEMORIAL HOSPITAL,111 FRANKLIN HEALTH COMMONS,FARMINGTON,ME,04938,FRANKLIN,(207) 778-6031,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,,
070040,HEBREW HOME AND HOSPITAL INC,1 ABRAHMS BOULEVARD,WEST HARTFORD,CT,06117,HARTFORD,(860) 523-3800,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,FALSE,,
070039,MASONICARE HEALTH CENTER HOSPITAL,22 MASONIC AVE,WALLINGFORD,CT,06492,NEW HAVEN,(203) 679-5900,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,FALSE,,
314021,HAMPTON BEHAVIORAL HEALTH CENTER,650 RANCOCAS ROAD,WESTAMPTON,NJ,08060,BURLINGTON,(609) 267-7000,Psychiatric,Proprietary,FALSE,FALSE,,
310091,SALEM MEDICAL CENTER,310 SALEM WOODSTOWN ROAD,SALEN,NJ,08079,SALEM,(856) 935-1000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,,
310081,INSPIRA MEDICAL CENTER WOODBURY,509 N BROAD ST,WOODBURY,NJ,08096,GLOUCESTER,(856) 845-0100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,,
314026,EAST MOUNTAIN HOSPITAL,40 EAST MOUNTAIN ROAD,BELLE MEAD,NJ,08502,SOMERSET,(908) 281-1500,Psychiatric,Voluntary non-profit - Private,FALSE,FALSE,,
310021,ST FRANCIS MEDICAL CENTER,601 HAMILTON AVE,TRENTON,NJ,08629,MERCER,(609) 599-5000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,FALSE,,
310131,HACKENSACK MERIDIAN LTACH,"530 NEW BRUNSWICK AVENUE, 4TH FLOOR/GREEN",PERTH AMBOY,NJ,08861,MIDDLESEX,(732) 324-4714,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,FALSE,,
330410,TERENCE CARDINAL COOKE HEALTH CARE CENTER,1249 FIFTH AVENUE,NEW YORK,NY,10029,NEW YORK,(212) 360-3600,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,FALSE,,
330385,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVENUE & 210TH STREET,BRONX,NY,10467,BRONX,(212) 519-5000,Acute Care Hospitals,Government - Local,TRUE,TRUE,,
330201,KINGSBROOK JEWISH MEDICAL CENTER,585 SCHENECTADY AVENUE,BROOKLYN,NY,11203,KINGS,(718) 604-5789,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,FALSE,,
330397,INTERFAITH MEDICAL CENTER,1545 ATLANTIC AVENUE,BROOKLYN,NY,11213,KINGS,(718) 613-4000,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,,
330236,NEW YORK-PRESBYTERIAN/BROOKLYN METHODIST HOSPITAL,506 SIXTH STREET,BROOKLYN,NY,11215,KINGS,(718) 780-3031,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,,
330409,THE BURDETT CARE CENTER,2215 BURDETT AVE,TROY,NY,12180,RENSSELAER,(518) 271-3655,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,,
330004,HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,396 BROADWAY,KINGSTON,NY,12401,ULSTER,(914) 331-3131,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,,
33014F,VA HUDSON VALLEY HEALTHCARE SYSTEM - CASTLE POINT,41 CASTLE POINT ROAD,WAPPINGERS FALLS,NY,12590,DUTCHESS,(845) 831-2000,Acute Care - Veterans Administration,Veterans Health Administration,FALSE,FALSE,,
330084,ALICE HYDE MEDICAL CENTER,"133 PARK STREET, PO BOX 729",MALONE,NY,12953,FRANKLIN,(518) 483-3000,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,,
330245,ST ELIZABETH MEDICAL CENTER,2209 GENESEE STREET,UTICA,NY,13501,ONEIDA,(315) 798-8100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,FALSE,,
330223,MASSENA HOSPITAL,1 HOSPITAL DRIVE,MASSENA,NY,13662,ST. LAWRENCE,(315) 769-4234,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,,
334068,CLAXTON-HEPBURN MEDICAL CENTER,214 KING STREET,OGDENSBURG,NY,13669,ST. LAWRENCE,(315) 713-5210,Psychiatric,Voluntary non-profit - Private,FALSE,FALSE,,
331307,CLIFTON FINE HOSPITAL,1014 OSWEGATCHIE TRAIL,STAR LAKE,NY,13690,ST. LAWRENCE,(315) 848-3351,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,FALSE,,
330163,EASTERN NIAGARA HOSPITAL - LOCKPORT DIVISION,521 EAST AVENUE,LOCKPORT,NY,14094,NIAGARA,(716) 514-5700,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,FALSE,,
330008,WYOMING COUNTY COMMUNITY HOSPITAL,400 NORTH MAIN STREET,WARSAW,NY,14569,WYOMING,(585) 786-8940,Acute Care Hospitals,Government - Local,TRUE,FALSE,,
330403,MONROE COMMUNITY HOSPITAL,435 EAST HENRIETTA ROAD,ROCHESTER,NY,14620,MONROE,(585) 760-6500,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,FALSE,,
