REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_TYPE,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
CMS STARS REPORT,2021-04-01,2021,PERFORMANCE INFORMATION,SAFETY OF CARE,COMP_HIP_KNEE,COMPLICATION RATE FOLLOWING ELECTIVE PRIMARY TOTAL HIP ARTHROPLASTY (THA) AND/OR TOTAL KNEE ARTHROPLASTY (TKA),,,Observed complications / Expected complications (risk-adjusted),Outcome,,PERCENT_1,LOWER,2016-04-01,2019-03-31,Complications_and_Deaths-Hospital,
CMS STARS REPORT,2022-07-01,2022,PERFORMANCE INFORMATION,SAFETY OF CARE,COMP_HIP_KNEE,COMPLICATION RATE FOLLOWING ELECTIVE PRIMARY TOTAL HIP ARTHROPLASTY (THA) AND/OR TOTAL KNEE ARTHROPLASTY (TKA),,,Observed complications / Expected complications (risk-adjusted),Outcome,,PERCENT_1,LOWER,2018-04-01,2021-03-31,Complications_and_Deaths-Hospital,
CMS STARS REPORT,2023-07-01,2023,PERFORMANCE INFORMATION,SAFETY OF CARE,COMP_HIP_KNEE,COMPLICATION RATE FOLLOWING ELECTIVE PRIMARY TOTAL HIP ARTHROPLASTY (THA) AND/OR TOTAL KNEE ARTHROPLASTY (TKA),,,Observed complications / Expected complications (risk-adjusted),Outcome,,PERCENT_1,LOWER,2019-04-01,2022-03-31,Complications_and_Deaths-Hospital,
CMS STARS REPORT,2024-07-01,2024,PERFORMANCE INFORMATION,SAFETY OF CARE,COMP_HIP_KNEE,COMPLICATION RATE FOLLOWING ELECTIVE PRIMARY TOTAL HIP ARTHROPLASTY (THA) AND/OR TOTAL KNEE ARTHROPLASTY (TKA),,,Observed complications / Expected complications (risk-adjusted),Outcome,,PERCENT_1,LOWER,2020-04-01,2023-03-31,Complications_and_Deaths-Hospital,
CMS STARS REPORT,2025-07-01,2025,PERFORMANCE INFORMATION,SAFETY OF CARE,COMP_HIP_KNEE,COMPLICATION RATE FOLLOWING ELECTIVE PRIMARY TOTAL HIP ARTHROPLASTY (THA) AND/OR TOTAL KNEE ARTHROPLASTY (TKA),,,Observed complications / Expected complications (risk-adjusted),Outcome,,PERCENT_1,LOWER,2021-04-01,2024-03-31,Complications_and_Deaths-Hospital,
CMS STARS REPORT,2026-05-01,2026,PERFORMANCE INFORMATION,SAFETY OF CARE,COMP_HIP_KNEE,COMPLICATION RATE FOLLOWING ELECTIVE PRIMARY TOTAL HIP ARTHROPLASTY (THA) AND/OR TOTAL KNEE ARTHROPLASTY (TKA),,,Observed complications / Expected complications (risk-adjusted),Outcome,,PERCENT_1,LOWER,2021-04-01,2024-03-31,Complications_and_Deaths-Hospital,
CMS STARS REPORT,2021-04-01,2021,PERFORMANCE INFORMATION,TIMELY AND EFFECTIVE CARE,ED_2B,ADMIT DECISION TIME TO ED DEPARTURE TIME FOR ADMITTED PATIENTS,,,Median minutes from admit decision to ED departure for admitted patients,Process,,DECIMAL_0,LOWER,2019-01-01,2019-12-31,,
CMS STARS REPORT,2021-04-01,2021,PERFORMANCE INFORMATION,READMISSION,EDAC_30_AMI,EXCESS DAYS IN ACUTE CARE AFTER HOSPITALIZATION FOR ACUTE MYOCARDIAL INFARCTION,,,Excess days in acute care per 100 discharges (risk-adjusted),Outcome,,DECIMAL_1,LOWER,2016-07-01,2019-06-30,Unplanned_Hospital_Visits-Hospital,
CMS STARS REPORT,2022-07-01,2022,PERFORMANCE INFORMATION,READMISSION,EDAC_30_AMI,EXCESS DAYS IN ACUTE CARE AFTER HOSPITALIZATION FOR ACUTE MYOCARDIAL INFARCTION,,,Excess days in acute care per 100 discharges (risk-adjusted),Outcome,,DECIMAL_1,LOWER,2018-07-01,2021-06-30,Unplanned_Hospital_Visits-Hospital,
CMS STARS REPORT,2023-07-01,2023,PERFORMANCE INFORMATION,READMISSION,EDAC_30_AMI,EXCESS DAYS IN ACUTE CARE AFTER HOSPITALIZATION FOR ACUTE MYOCARDIAL INFARCTION,,,Excess days in acute care per 100 discharges (risk-adjusted),Outcome,,DECIMAL_1,LOWER,2019-07-01,2022-06-30,Unplanned_Hospital_Visits-Hospital,
