REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,MEASURE_GROUP_CLEAN,MEASURE_NAME_CLEAN,SUBMEASURE_NAME_CLEAN,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_TYPE,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,CANCER_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,CANCER,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,CANCER_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,CANCER,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CARDIOLOGY AND HEART SURGERY,CARDIOLOGY_AND_HEART_SURGERY_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,CARDIOLOGY_AND_HEART_SURGERY,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CARDIOLOGY AND HEART SURGERY,CARDIOLOGY_AND_HEART_SURGERY_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,CARDIOLOGY_AND_HEART_SURGERY,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,DIABETES AND ENDOCRINE DISORDERS,DIABETES_AND_ENDOCRINE_DISORDERS_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,DIABETES_AND_ENDOCRINE_DISORDERS,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,DIABETES AND ENDOCRINE DISORDERS,DIABETES_AND_ENDOCRINE_DISORDERS_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,DIABETES_AND_ENDOCRINE_DISORDERS,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,"EAR, NOSE, AND THROAT",EAR_NOSE_AND_THROAT_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,EAR_NOSE_AND_THROAT,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,"EAR, NOSE, AND THROAT",EAR_NOSE_AND_THROAT_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,EAR_NOSE_AND_THROAT,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,GASTROENTEROLOGY AND GI SURGERY,GASTROENTEROLOGY_AND_GI_SURGERY_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,GASTROENTEROLOGY_AND_GI_SURGERY,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,GASTROENTEROLOGY AND GI SURGERY,GASTROENTEROLOGY_AND_GI_SURGERY_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,GASTROENTEROLOGY_AND_GI_SURGERY,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,GERIATRIC CARE,GERIATRIC_CARE_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,GERIATRIC_CARE,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,GERIATRIC CARE,GERIATRIC_CARE_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,GERIATRIC_CARE,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,NEUROLOGY AND NEUROSURGERY,NEUROLOGY_AND_NEUROSURGERY_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,NEUROLOGY_AND_NEUROSURGERY,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,NEUROLOGY AND NEUROSURGERY,NEUROLOGY_AND_NEUROSURGERY_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,NEUROLOGY_AND_NEUROSURGERY,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,ORTHOPEDICS,ORTHOPEDICS_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,ORTHOPEDICS,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,ORTHOPEDICS,ORTHOPEDICS_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,ORTHOPEDICS,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,PULMONOLOGY,PULMONOLOGY_MORTALITY_RANDOM_EFFECTS_MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,MORTALITY - RANDOM EFFECTS,MORTALITY - RANDOM EFFECTS - TRADITIONAL FEE-FOR-SERVICE,PULMONOLOGY,MORTALITY_RANDOM_EFFECTS,MORTALITY_RANDOM_EFFECTS_TRADITIONAL_FEE_FOR_SERVICE,Mortality - Random Effects - Traditional Fee-For-Service (Outcomes),,,N/A,,LOWER_IS_BETTER,,,,
