REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,,HOSPITAL READMISSION PREVENTION BAND (OUTCOMES),,Hospital Readmission Prevention Band (Outcomes),,,,,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,,HOSPITAL READMISSION PREVENTION DENOMINATOR (OUTCOMES),,Hospital Readmission Prevention Denominator (Outcomes),,,,,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,,HOSPITAL READMISSION PREVENTION ODDS RATIO (OUTCOMES),,Hospital Readmission Prevention Odds Ratio (Outcomes),,,,,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,,HOSPITAL READMISSION PREVENTION PREDICTED VALUE (OUTCOMES),,Hospital Readmission Prevention Predicted Value (Outcomes),,,,,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,,HOSPITAL READMISSION PREVENTION RANDOM EFFECTS (OUTCOMES),,Hospital Readmission Prevention Random Effects (Outcomes),,,,,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,,HOSPITAL READMISSION PREVENTION RANDOM EFFECTS STANDARD ERROR (OUTCOMES),,Hospital Readmission Prevention Random Effects Standard Error (Outcomes),,,,,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,,HOSPITAL READMISSION PREVENTION SCORE (OUTCOMES),,Hospital Readmission Prevention Score (Outcomes),,,,,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,,MORTALITY BAND (SURVIVAL) (OUTCOMES),,Mortality Band (Survival) (Outcomes),,,,,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,,MORTALITY DENOMINATOR (FEE-FOR-SERVICE & MEDICARE ADVANTAGE DATA) (OUTCOMES),,Mortality Denominator (Fee-For-Service & Medicare Advantage Data) (Outcomes),,,,,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,,MORTALITY DENOMINATOR (FEE-FOR-SERVICE DATA) (OUTCOMES),,Mortality Denominator (Fee-For-Service Data) (Outcomes),,,,,,,,
