REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_READM_BAND,HOSPITAL READMISSION PREVENTION BAND (OUTCOMES),,Hospital Readmission Prevention Band (Outcomes),"Risk-adjusted unplanned inpatient readmission within 30 days of discharge from the index procedure, similar to the CMS hospital-wide unplanned readmission definition with cohort-specific criteria. Hierarchical logistic model on Medicare FFS patients age 65+. Categorical display band for 30-day unplanned readmission, assigned by statistical confidence of deviation from the mean: Excellent / Better than Average (>=90% / >=75% confidence better), Average, Worse than Average / Poor (>=75% / >=90% confidence worse). Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_READM_DEN,HOSPITAL READMISSION PREVENTION DENOMINATOR (OUTCOMES),,Hospital Readmission Prevention Denominator (Outcomes),"Risk-adjusted unplanned inpatient readmission within 30 days of discharge from the index procedure, similar to the CMS hospital-wide unplanned readmission definition with cohort-specific criteria. Hierarchical logistic model on Medicare FFS patients age 65+. Denominator: number of eligible index visits included in the 30-day unplanned readmission model for this cohort. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Neutral,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_READM_OR,HOSPITAL READMISSION PREVENTION ODDS RATIO (OUTCOMES),,Hospital Readmission Prevention Odds Ratio (Outcomes),"Risk-adjusted unplanned inpatient readmission within 30 days of discharge from the index procedure, similar to the CMS hospital-wide unplanned readmission definition with cohort-specific criteria. Hierarchical logistic model on Medicare FFS patients age 65+. Risk-adjusted odds ratio for 30-day unplanned readmission relative to the average hospital (derived from the hospital random intercept). Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Lower,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_READM_PRED,HOSPITAL READMISSION PREVENTION PREDICTED VALUE (OUTCOMES),,Hospital Readmission Prevention Predicted Value (Outcomes),"Risk-adjusted unplanned inpatient readmission within 30 days of discharge from the index procedure, similar to the CMS hospital-wide unplanned readmission definition with cohort-specific criteria. Hierarchical logistic model on Medicare FFS patients age 65+. Model-predicted (expected) value of 30-day unplanned readmission for this hospital given its case mix. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Neutral,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_READM_RE,HOSPITAL READMISSION PREVENTION RANDOM EFFECTS (OUTCOMES),,Hospital Readmission Prevention Random Effects (Outcomes),"Risk-adjusted unplanned inpatient readmission within 30 days of discharge from the index procedure, similar to the CMS hospital-wide unplanned readmission definition with cohort-specific criteria. Hierarchical logistic model on Medicare FFS patients age 65+. Hospital-specific random intercept (empirical Bayes estimate) from the 30-day unplanned readmission model; quantifies deviation from the grand mean. As published by USNWR, values are oriented so that greater than 0 indicates better-than-average performance. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_READM_RESE,HOSPITAL READMISSION PREVENTION RANDOM EFFECTS STANDARD ERROR (OUTCOMES),,Hospital Readmission Prevention Random Effects Standard Error (Outcomes),"Risk-adjusted unplanned inpatient readmission within 30 days of discharge from the index procedure, similar to the CMS hospital-wide unplanned readmission definition with cohort-specific criteria. Hierarchical logistic model on Medicare FFS patients age 65+. Standard error of the hospital random intercept from the 30-day unplanned readmission model; reflects estimate precision (smaller with higher volume). Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Neutral,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_READM_SCORE,HOSPITAL READMISSION PREVENTION SCORE (OUTCOMES),,Hospital Readmission Prevention Score (Outcomes),"Risk-adjusted unplanned inpatient readmission within 30 days of discharge from the index procedure, similar to the CMS hospital-wide unplanned readmission definition with cohort-specific criteria. Hierarchical logistic model on Medicare FFS patients age 65+. Min-max normalized (0-1) value of 30-day unplanned readmission used in the weighted composite score; 1 = best observed/theoretical performance in the cohort. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_BAND,MORTALITY BAND (SURVIVAL) (OUTCOMES),,Mortality Band (Survival) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Categorical display band for 30-day mortality, assigned by statistical confidence of deviation from the mean: Excellent / Better than Average (>=90% / >=75% confidence better), Average, Worse than Average / Poor (>=75% / >=90% confidence worse). Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_DEN_FFSMA,MORTALITY DENOMINATOR (FEE-FOR-SERVICE & MEDICARE ADVANTAGE DATA) (OUTCOMES),,Mortality Denominator (Fee-For-Service & Medicare Advantage Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Denominator: number of eligible index visits included in the 30-day mortality model for this cohort. Data source: traditional Medicare fee-for-service and Medicare Advantage claims combined. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Neutral,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_DEN_FFS,MORTALITY DENOMINATOR (FEE-FOR-SERVICE DATA) (OUTCOMES),,Mortality Denominator (Fee-For-Service Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Denominator: number of eligible index visits included in the 30-day mortality model for this cohort. Data source: traditional Medicare fee-for-service claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Neutral,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_DEN_MA,MORTALITY DENOMINATOR (MEDICARE ADVANTAGE DATA) (OUTCOMES),,Mortality Denominator (Medicare Advantage Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Denominator: number of eligible index visits included in the 30-day mortality model for this cohort. Data source: Medicare Advantage encounter (MedPAR information-only) claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Neutral,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_EVT_FFSMA,MORTALITY EVENT COUNT (FEE-FOR-SERVICE & MEDICARE ADVANTAGE DATA) (OUTCOMES),,Mortality Event Count (Fee-For-Service & Medicare Advantage Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Numerator/event count: observed number of 30-day mortality events among eligible visits. Data source: traditional Medicare fee-for-service and Medicare Advantage claims combined. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Lower,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_EVT_FFS,MORTALITY EVENT COUNT (FEE-FOR-SERVICE DATA) (OUTCOMES),,Mortality Event Count (Fee-For-Service Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Numerator/event count: observed number of 30-day mortality events among eligible visits. Data source: traditional Medicare fee-for-service claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Lower,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_EVT_MA,MORTALITY EVENT COUNT (MEDICARE ADVANTAGE DATA) (OUTCOMES),,Mortality Event Count (Medicare Advantage Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Numerator/event count: observed number of 30-day mortality events among eligible visits. Data source: Medicare Advantage encounter (MedPAR information-only) claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Lower,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_OR_FFS,MORTALITY ODDS RATIO (FEE-FOR-SERVICE DATA) (OUTCOMES),,Mortality Odds Ratio (Fee-For-Service Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Risk-adjusted odds ratio for 30-day mortality relative to the average hospital (derived from the hospital random intercept). Data source: traditional Medicare fee-for-service claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Lower,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_OR_MA,MORTALITY ODDS RATIO (MEDICARE ADVANTAGE DATA) (OUTCOMES),,Mortality Odds Ratio (Medicare Advantage Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Risk-adjusted odds ratio for 30-day mortality relative to the average hospital (derived from the hospital random intercept). Data source: Medicare Advantage encounter (MedPAR information-only) claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Lower,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_PRED_FFS,MORTALITY PREDICTED VALUE (FEE-FOR-SERVICE DATA) (OUTCOMES),,Mortality Predicted Value (Fee-For-Service Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Model-predicted (expected) value of 30-day mortality for this hospital given its case mix. Data source: traditional Medicare fee-for-service claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Neutral,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_PRED_MA,MORTALITY PREDICTED VALUE (MEDICARE ADVANTAGE DATA) (OUTCOMES),,Mortality Predicted Value (Medicare Advantage Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Model-predicted (expected) value of 30-day mortality for this hospital given its case mix. Data source: Medicare Advantage encounter (MedPAR information-only) claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Neutral,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_RE_FFSMA,MORTALITY RANDOM EFFECTS (FEE-FOR-SERVICE & MEDICARE ADVANTAGE DATA) (OUTCOMES),,Mortality Random Effects (Fee-For-Service & Medicare Advantage Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Hospital-specific random intercept (empirical Bayes estimate) from the 30-day mortality model; quantifies deviation from the grand mean. As published by USNWR, values are oriented so that greater than 0 indicates better-than-average performance. Data source: traditional Medicare fee-for-service and Medicare Advantage claims combined. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_RE_FFS,MORTALITY RANDOM EFFECTS (FEE-FOR-SERVICE DATA) (OUTCOMES),,Mortality Random Effects (Fee-For-Service Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Hospital-specific random intercept (empirical Bayes estimate) from the 30-day mortality model; quantifies deviation from the grand mean. As published by USNWR, values are oriented so that greater than 0 indicates better-than-average performance. Data source: traditional Medicare fee-for-service claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_RE_MA,MORTALITY RANDOM EFFECTS (MEDICARE ADVANTAGE DATA) (OUTCOMES),,Mortality Random Effects (Medicare Advantage Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Hospital-specific random intercept (empirical Bayes estimate) from the 30-day mortality model; quantifies deviation from the grand mean. As published by USNWR, values are oriented so that greater than 0 indicates better-than-average performance. Data source: Medicare Advantage encounter (MedPAR information-only) claims. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Higher,,,,
USNWR ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,ABDOMINAL AORTIC ANEURYSM REPAIR,AAA_MORT_RESE_FFSMA,MORTALITY RANDOM EFFECTS STANDARD ERROR (FEE-FOR-SERVICE & MEDICARE ADVANTAGE DATA) (OUTCOMES),,Mortality Random Effects Standard Error (Fee-For-Service & Medicare Advantage Data) (Outcomes),"Risk-adjusted death within 30 days of the index procedure (displayed as 'Survival' on USNWR scorecards). Modeled with hierarchical logistic regression on Medicare patients age 65+, adjusting for age, sex, transfer status, admission year, 38 Elixhauser comorbidities, dual eligibility, and cohort-specific severity variables. The only P&C outcome combining fee-for-service and Medicare Advantage data (FFS/MA random effects weighted by payer mix). Standard error of the hospital random intercept from the 30-day mortality model; reflects estimate precision (smaller with higher volume). Data source: traditional Medicare fee-for-service and Medicare Advantage claims combined. Cohort: abdominal aortic aneurysm repair. USNWR 2025-2026 Best Hospitals: Procedures & Conditions.",,,Neutral,,,,
