HOSPITAL_NAME,'GERIATRIC CARE','GASTROENTEROLOGY AND GI SURGERY','UROLOGY','ORTHOPEDICS','PULMONOLOGY','OBSTETRICS AND GYNECOLOGY','CANCER','REHABILITATION','NEUROLOGY AND NEUROSURGERY','DIABETES AND ENDOCRINE DISORDERS','CARDIOLOGY AND HEART SURGERY',"'EAR, NOSE, AND THROAT'"
ABBOTT NORTHWESTERN HOSPITAL,1,1,1,1,1,0,1,1,1,1,1,0
ABRAZO ARROWHEAD CAMPUS,0,1,1,1,1,0,1,0,1,0,1,0
ABRAZO CENTRAL CAMPUS,0,0,1,0,0,0,0,0,1,0,0,0
ABRAZO SCOTTSDALE CAMPUS,1,0,0,1,1,0,0,0,0,0,0,0
ABRAZO WEST CAMPUS,1,1,1,1,1,0,0,0,1,0,0,0
ACCEL REHABILITATION HOSPITAL OF PLANO,0,0,0,0,0,0,0,1,0,0,0,0
ACCORD REHABILIATION HOSPITAL,0,0,0,0,0,0,0,1,0,0,0,0
ADENA REGIONAL MEDICAL CENTER,1,1,1,1,1,0,0,0,1,0,1,0
ADVENTHEALTH AVISTA HOSPITAL,0,0,1,1,0,0,0,0,0,0,0,0
ADVENTHEALTH CARROLLWOOD,1,1,1,1,1,0,0,0,1,0,0,0
ADVENTHEALTH CENTRAL TEXAS,0,0,0,0,1,0,0,0,0,0,0,0
ADVENTHEALTH DAYTONA BEACH,1,1,1,1,1,0,1,1,1,1,1,0
ADVENTHEALTH DELAND,1,1,0,1,1,0,0,0,0,0,0,0
ADVENTHEALTH FISH MEMORIAL,1,1,1,1,1,0,1,0,1,0,0,0
ADVENTHEALTH HEART OF FLORIDA,1,1,1,1,1,0,0,0,1,0,0,0
ADVENTHEALTH HENDERSONVILLE,1,0,1,1,1,0,0,0,0,0,0,0
ADVENTHEALTH LAKE WALES,0,0,0,0,1,0,0,0,0,0,0,0
ADVENTHEALTH LITTLETON HOSPITAL,1,1,1,1,1,0,1,0,1,0,0,0
ADVENTHEALTH NEW SMYRNA BEACH,1,1,1,1,1,0,0,0,0,0,0,0
ADVENTHEALTH NORTH PINELLAS,1,1,1,1,1,0,0,0,1,0,0,0
ADVENTHEALTH OCALA,1,1,1,1,1,0,1,0,1,1,1,0
ADVENTHEALTH ORLANDO,1,1,1,1,1,1,1,1,1,1,1,1
ADVENTHEALTH PARKER HOSPITAL,1,1,0,1,1,0,0,0,1,0,0,0
ADVENTHEALTH PORT CHARLOTTE,0,1,1,1,1,0,0,0,1,0,1,0
ADVENTHEALTH REDMOND,0,1,1,1,1,0,1,1,1,0,1,0
ADVENTHEALTH SEBRING,1,1,1,1,1,0,0,0,1,0,0,0
ADVENTHEALTH SHAWNEE MISSION,1,1,1,1,1,0,1,0,1,1,1,0
ADVENTHEALTH TAMPA,1,1,1,1,1,0,1,1,1,1,1,0
ADVENTHEALTH WATERMAN,1,1,1,1,1,0,1,1,0,1,1,0
ADVENTHEALTH WESLEY CHAPEL,0,1,1,1,1,0,0,0,1,0,0,0
ADVENTHEALTH ZEPHYRHILLS,0,1,1,1,1,0,1,0,1,0,0,0
ADVENTIST HEALTH BAKERSFIELD,1,1,1,1,1,0,0,0,1,0,1,0
ADVENTIST HEALTH CASTLE,1,1,1,1,1,0,0,0,1,0,0,0
ADVENTIST HEALTH GLENDALE,1,1,1,1,1,0,1,1,1,1,1,0
ADVENTIST HEALTH LODI MEMORIAL,1,1,1,1,1,0,0,1,0,0,0,0
ADVENTIST HEALTH PORTLAND,1,1,1,1,1,0,0,0,1,0,1,0
ADVENTIST HEALTH SIMI VALLEY ,1,1,1,1,1,0,0,0,0,0,0,0
ADVENTIST HEALTH-WHITE MEMORIAL,1,1,1,1,1,0,1,1,1,0,0,0
ADVENTIST HEALTHCARE REHABILITATION HOSPITAL,0,0,0,0,0,0,0,1,0,0,0,0
ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,1,1,1,1,1,0,0,0,1,1,0,0
ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,1,1,1,0,1,0,0,0,0,1,1,0
ADVENTIST MEDICAL CENTER-HANFORD,1,1,1,1,1,0,0,0,0,1,0,0
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,1,1,1,1,1,1,1,1,1,1,1,0
ADVOCATE CONDELL MEDICAL CENTER,1,1,1,1,1,0,1,0,1,1,1,0
ADVOCATE GOOD SAMARITAN HOSPITAL,1,1,1,1,1,0,1,0,1,1,1,0
ADVOCATE GOOD SHEPHERD HOSPITAL,1,1,1,1,1,0,1,0,1,1,1,0
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,1,1,1,1,1,0,1,1,1,0,1,0
ADVOCATE LUTHERAN GENERAL HOSPITAL,1,1,1,1,1,1,1,1,1,1,1,0
ADVOCATE SHERMAN HOSPITAL,1,1,1,1,1,0,1,0,1,0,1,0
ADVOCATE TRINITY HOSPITAL,1,1,1,1,1,0,1,0,0,1,0,0
AFFILIATE OF VITRUVIAN HEALTH,1,1,1,1,1,0,0,0,0,0,0,0
AHMC ANAHEIM REGIONAL MEDICAL CENTER,0,0,0,0,1,0,0,0,1,0,0,0
AHN WEXFORD HOSPITAL,0,1,1,0,0,0,0,0,0,0,0,0
AHS HOSPITAL CORP,1,0,1,0,1,0,0,0,0,0,0,0
AIKEN REGIONAL MEDICAL CENTER,1,1,1,1,1,0,0,1,0,0,0,0
ALAMANCE REGIONAL MEDICAL CENTER,1,1,1,1,1,0,0,0,1,0,0,0
ALASKA REGIONAL HOSPITAL,0,0,0,0,0,0,0,1,0,0,0,0
ALBANY MEDICAL CENTER HOSPITAL,1,1,1,1,1,0,1,1,1,1,1,1
ALEXIAN BROTHERS MEDICAL CENTER 1,1,1,1,1,1,0,1,1,1,1,1,0
ALHAMBRA HOSPITAL MEDICAL CENTER,0,0,0,0,0,0,0,1,0,0,0,0
ALLEGHENY GENERAL HOSPITAL,1,1,1,1,1,0,1,0,1,0,1,0
ALLEGHENY VALLEY HOSPITAL,1,0,0,1,1,0,0,1,0,0,0,0
ALLIANCE COMMUNITY HOSPITAL,0,0,0,1,0,0,0,0,0,0,0,0
ALLIANCEHEALTH DURANT,1,0,1,1,1,0,0,0,0,0,0,0
ALLIED SERVICES SCRANTON REHABILITATION HOSPITAL,0,0,0,0,0,0,0,1,0,0,0,0
ALLINA UNITED HOSPITAL,1,1,1,1,1,0,1,1,1,0,1,0
ALOMERE HEALTH,0,0,1,1,0,0,0,0,0,0,0,0
ALTA BATES SUMMIT MEDICAL CENTER-BERKELEY,1,1,1,1,1,0,0,0,1,0,0,0
ALTA BATES SUMMIT MEDICAL CENTER-OAKLAND,1,1,1,1,1,0,1,1,0,1,1,0
ALTON MEMORIAL HOSPITAL,1,1,1,0,1,0,0,0,0,0,0,0
ALTRU HOSPITAL,0,1,1,1,1,0,0,0,1,0,1,0
AMG PHYSICAL REHABILITATION HOSPITAL,0,0,0,0,0,0,0,1,0,0,0,0
AMITA HEALTH RESURRECTION MEDICAL CENTER,1,1,1,1,1,0,1,1,1,1,1,0
ANDERSON HOSPITAL,1,1,1,1,1,0,0,0,0,0,0,0
ANDERSON REGIONAL MEDICAL CENTER,1,1,1,1,1,0,1,0,1,0,0,0
ANDERSON REGIONAL MEDICAL CENTER SOUTH CAMPUS,0,0,0,0,0,0,0,1,0,0,0,0
ANDERSON REHABILITATION INSTITUTE,0,0,0,0,0,0,0,1,0,0,0,0
ANMED HEALTH,1,1,1,1,1,0,1,0,1,1,1,0
ANMED REHABILITATION HOSPITAL,0,0,0,0,0,0,0,1,0,0,0,0
ANNA JAQUES HOSPITAL,1,1,0,1,1,0,0,0,0,0,0,0
ANTELOPE VALLEY HOSPITAL,1,1,1,1,1,0,0,0,1,0,1,0
ARCHBOLD MEMORIAL HOSPITAL,1,1,1,1,1,0,0,1,1,0,0,0
ARKANSAS HEART HOSPITAL,0,0,0,0,0,0,0,0,1,0,1,0
ARKANSAS METHODIST MEDICAL CENTER,0,0,0,0,0,0,0,1,0,0,0,0
ARNOT OGDEN MEDICAL CENTER,0,0,1,1,1,0,0,0,1,0,0,0
ARROWHEAD REGIONAL MEDICAL CENTER,1,0,0,1,1,0,0,0,1,0,0,0
ASANTE ROGUE REGIONAL MEDICAL CENTER,1,1,1,1,1,0,1,1,1,1,1,0
ASANTE THREE RIVERS MEDICAL CENTER,1,1,0,1,1,0,0,0,0,0,0,0
ASCENSION  SETON HAYS,1,1,1,1,1,0,0,0,1,0,0,0
ASCENSION ALL SAINTS HOSPITAL,1,1,1,1,1,0,0,1,1,0,0,0
ASCENSION COLUMBIA ST MARYS HOSPITAL MILWAUKEE,1,1,1,1,1,0,1,0,1,0,1,0
ASCENSION GENESYS HOSPITAL,1,1,1,1,1,0,1,1,1,1,1,0
ASCENSION NE WISCONSIN - ST ELIZABETH CAMPUS,1,1,1,1,1,0,0,1,1,0,1,0
ASCENSION PROVIDENCE,1,1,1,1,1,0,1,0,1,1,1,0
"ASCENSION PROVIDENCE HOSPITAL, SOUTHFIELD AND NOVI",1,1,1,1,1,1,1,1,1,1,1,1
ASCENSION PROVIDENCE ROCHESTER HOSPITAL,1,1,1,1,1,0,1,1,1,0,0,0
ASCENSION SACRED HEART BAY,1,1,1,1,1,0,0,0,1,0,1,0
ASCENSION SACRED HEART REHABILITATION HOSPITAL,0,0,0,0,0,0,0,1,0,0,0,0
ASCENSION SAINT THOMAS HOSPITAL,1,1,1,1,1,1,1,1,1,1,1,0
ASCENSION SE WISCONSIN HOSPITAL,1,1,1,1,1,0,1,1,1,0,0,0
ASCENSION SETON CEDAR PARK,1,1,1,0,1,0,0,0,0,0,0,0
ASCENSION SETON MEDICAL CENTER AUSTIN,1,1,1,1,1,1,1,0,1,1,1,0
ASCENSION SETON NORTHWEST,0,0,1,0,0,0,0,0,0,0,0,0
ASCENSION SETON WILLIAMSON,1,1,0,1,1,0,0,0,1,0,0,0
ASCENSION ST JOHN JANE PHILLIPS,1,1,1,1,1,0,0,1,1,0,0,0
ASCENSION ST JOHN MEDICAL CENTER,1,1,1,1,1,1,1,0,1,1,1,1
ASCENSION ST VINCENT ANDERSON,1,0,0,1,1,0,0,1,0,0,0,0
ASCENSION ST VINCENT CARMEL,0,1,1,1,0,0,0,0,0,0,0,0
ASCENSION ST VINCENT EVANSVILLE,1,1,1,1,1,0,1,1,1,0,1,0
ASCENSION ST VINCENT HOSPITAL,1,1,1,1,1,1,1,0,1,1,1,1
ASCENSION ST VINCENT KOKOMO,1,0,1,1,1,0,0,1,0,0,0,0
ASCENSION ST VINCENT'S CLAY COUNTY,1,1,1,0,1,0,0,0,0,0,0,0
ASCENSION ST VINCENT'S RIVERSIDE,1,1,1,1,1,0,1,0,1,1,1,0
ASCENSION ST VINCENT'S SOUTHSIDE,1,1,1,1,1,0,0,1,1,0,0,0
"ASCENSION VIA CHRISTI HOSPITAL MANHATTAN, INC",0,0,0,0,0,0,0,1,0,0,0,0
ASCENSION VIA CHRISTI HOSPITAL WICHITA,1,1,1,1,1,0,1,0,1,1,1,0
"ASCENSION VIA CHRISTI HOSPITALS WICHITA, INC.",0,0,0,0,0,0,0,1,0,0,0,0
ASHTABULA COUNTY MEDICAL CENTER,1,0,0,0,1,0,0,0,0,0,0,0
ASPIRUS WAUSAU HOSPITAL,1,1,1,1,1,0,1,1,1,0,1,0
ATHENS-LIMESTONE HOSPITAL,0,0,1,1,0,0,0,0,0,0,0,0
ATLANTIC REHABILITATION INSTITUTE,0,0,0,0,0,0,0,1,0,0,0,0
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,1,1,1,1,1,0,1,0,1,1,1,0
ATRIUM HEALTH CAROLINAS REHABILITATION,0,0,0,0,0,0,0,1,0,0,0,0
ATRIUM HEALTH CLEVELAND,1,1,1,1,1,0,0,0,0,0,0,0
ATRIUM HEALTH FLOYD MEDICAL CENTER,1,1,1,1,1,0,1,1,1,0,0,0
ATRIUM HEALTH LINCOLN,1,0,0,0,1,0,0,0,0,0,0,0
ATRIUM HEALTH NAVICENT REHABILITATION HOSPITAL,0,0,0,0,0,0,0,1,0,0,0,0
ATRIUM HEALTH NAVICENT THE MEDICAL CENTER,1,1,1,1,1,1,1,0,1,1,1,0
ATRIUM HEALTH PINEVILLE,1,1,1,1,1,0,1,1,1,1,1,0
ATRIUM HEALTH UNION,1,1,1,1,1,0,0,0,0,0,0,0
ATRIUM HEALTH UNIVERSITY CITY,1,1,1,0,1,0,0,0,0,0,0,0
ATRIUM MEDICAL CENTER,1,1,1,1,1,0,0,1,0,0,0,0
AUBURN  COMMUNITY  HOSPITAL,1,1,1,1,1,0,0,0,0,0,0,0
AUGUSTA HEALTH,1,1,1,1,1,0,1,1,1,0,0,0
AULTMAN HOSPITAL,1,1,1,1,1,0,1,1,1,0,1,0
AURORA BAYCARE MEDICAL CTR,1,1,1,1,1,0,1,0,1,0,0,0
AURORA MEDICAL CENTER,1,1,1,1,1,0,0,0,0,0,1,0
AURORA MEDICAL CENTER - SUMMIT,1,1,1,1,1,0,0,1,1,0,0,0
AURORA MEDICAL CENTER KENOSHA,1,1,1,1,1,0,0,0,1,0,0,0
AURORA MEDICAL CENTER SHEBOYGAN COUNTY,1,1,0,1,1,0,0,0,0,0,0,0
AURORA ST LUKES MEDICAL CENTER,1,1,1,1,1,1,1,1,1,1,1,1
AUXILIO MUTUO HOSPITAL,1,1,1,1,1,0,1,1,0,0,1,0
AVERA HEART HOSPITAL OF SOUTH DAKOTA,0,0,0,0,0,0,0,0,0,0,1,0
AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,1,1,1,1,1,1,1,1,1,1,0,1
AVERA SACRED HEART HOSPITAL,0,0,0,1,0,0,0,0,0,0,0,0
AVERA ST LUKES,0,1,0,1,0,0,0,0,0,0,0,0
BAKERSFIELD MEMORIAL HOSPITAL,0,1,1,1,1,0,0,0,1,0,1,0
