REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEOGRY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,MEASURE,CANCER,M_CAN_FACT_OVERALL,ACCREDITED BY FACT,OVERALL,Accredited by FACT (Structure),N/A,DECIMAL_0,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,MEASURE,CANCER,M_CAN_FACT_OVERALL,ACCREDITED BY FACT,OVERALL,Accredited by FACT (Structure),N/A,DECIMAL_0,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,MEASURE,CANCER,M_CAN_FACT_OVERALL,ACCREDITED BY FACT,OVERALL,Accredited by FACT (Structure),N/A,DECIMAL_0,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,MEASURE,CANCER,M_CAN_ADV_OVERALL,ADVANCED TECHNOLOGIES,OVERALL,Advanced Technologies (Structure),N/A,DECIMAL_1,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,MEASURE,CANCER,M_CAN_ADV_OVERALL,ADVANCED TECHNOLOGIES,OVERALL,Advanced Technologies (Structure),N/A,DECIMAL_1,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,S_CAN_SVC_AIIR,PATIENT SERVICES,AIRBORNE INFECTION ISOLATION ROOM,Airborne infection isolation room (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,S_CAN_SVC_AIIR,PATIENT SERVICES,AIRBORNE INFECTION ISOLATION ROOM,Airborne Infection Isolation Room (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2024,2024-2025,SUBMEASURE,CANCER,S_CAN_ADV_BMT,ADVANCED TECHNOLOGIES,BONE MARROW TRANSPLANT,Bone marrow transplant (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2025,2025-2026,SUBMEASURE,CANCER,S_CAN_ADV_BMT,ADVANCED TECHNOLOGIES,BONE MARROW TRANSPLANT,Bone marrow transplant (Structure),N/A,STRING,HIGHER,,,,,
USNWR - ADULT SPECIALTIES,7/1/2026,2026-2027,SUBMEASURE,CANCER,S_CAN_DHRE_NORM,DISCHARGE TO HOME - RANDOM EFFECTS,NORMALIZED SCORE,Discharge to Home - Normalized Score (Outcomes),Normalized score for Discharge To Home - Random Effects used in the Cancer specialty ranking (Outcomes domain).,DECIMAL_2,HIGHER,,,,,
