REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
HOSPITAL READMISSION REDUCTION PROGRAM,7/1/2020,2021,MEASURE,AMI,AMI_DRG_PAYMENT_RATIO,DRG PAYMENT RATIO,,,Ratio of DRG payments for condition-specific discharges,,DECIMAL_3,,,,IPPS Final Rule,
HOSPITAL READMISSION REDUCTION PROGRAM,7/1/2021,2022,MEASURE,AMI,AMI_DRG_PAYMENT_RATIO,DRG PAYMENT RATIO,,,Ratio of DRG payments for condition-specific discharges,,DECIMAL_3,,,,IPPS Final Rule,
HOSPITAL READMISSION REDUCTION PROGRAM,7/1/2022,2023,MEASURE,AMI,AMI_DRG_PAYMENT_RATIO,DRG PAYMENT RATIO,,,Ratio of DRG payments for condition-specific discharges,,DECIMAL_3,,,,IPPS Final Rule,
HOSPITAL READMISSION REDUCTION PROGRAM,7/1/2023,2024,MEASURE,AMI,AMI_DRG_PAYMENT_RATIO,DRG PAYMENT RATIO,,,Ratio of DRG payments for condition-specific discharges,,DECIMAL_3,,,,IPPS Final Rule,
HOSPITAL READMISSION REDUCTION PROGRAM,7/1/2024,2025,MEASURE,AMI,AMI_DRG_PAYMENT_RATIO,DRG PAYMENT RATIO,,,Ratio of DRG payments for condition-specific discharges,,DECIMAL_3,,,,IPPS Final Rule,
HOSPITAL READMISSION REDUCTION PROGRAM,7/1/2025,2026,MEASURE,AMI,AMI_DRG_PAYMENT_RATIO,DRG PAYMENT RATIO,,,Ratio of DRG payments for condition-specific discharges,,DECIMAL_3,,,,IPPS Final Rule,
HOSPITAL READMISSION REDUCTION PROGRAM,7/1/2020,2021,MEASURE,AMI,AMI_EXCESS_READMISSION_RATIO,EXCESS READMISSION RATIO,,,Observed readmissions / Expected readmissions (risk-adjusted),,DECIMAL_3,LOWER,,,IPPS Final Rule,
HOSPITAL READMISSION REDUCTION PROGRAM,7/1/2021,2022,MEASURE,AMI,AMI_EXCESS_READMISSION_RATIO,EXCESS READMISSION RATIO,,,Observed readmissions / Expected readmissions (risk-adjusted),,DECIMAL_3,LOWER,,,IPPS Final Rule,
HOSPITAL READMISSION REDUCTION PROGRAM,7/1/2022,2023,MEASURE,AMI,AMI_EXCESS_READMISSION_RATIO,EXCESS READMISSION RATIO,,,Observed readmissions / Expected readmissions (risk-adjusted),,DECIMAL_3,LOWER,,,IPPS Final Rule,
HOSPITAL READMISSION REDUCTION PROGRAM,7/1/2023,2024,MEASURE,AMI,AMI_EXCESS_READMISSION_RATIO,EXCESS READMISSION RATIO,,,Observed readmissions / Expected readmissions (risk-adjusted),,DECIMAL_3,LOWER,,,IPPS Final Rule,
HOSPITAL READMISSION REDUCTION PROGRAM,7/1/2024,2025,MEASURE,AMI,AMI_EXCESS_READMISSION_RATIO,EXCESS READMISSION RATIO,,,Observed readmissions / Expected readmissions (risk-adjusted),,DECIMAL_3,LOWER,,,IPPS Final Rule,
HOSPITAL READMISSION REDUCTION PROGRAM,7/1/2025,2026,MEASURE,AMI,AMI_EXCESS_READMISSION_RATIO,EXCESS READMISSION RATIO,,,Observed readmissions / Expected readmissions (risk-adjusted),,DECIMAL_3,LOWER,,,IPPS Final Rule,
HOSPITAL READMISSION REDUCTION PROGRAM,7/1/2020,2021,MEASURE,AMI,AMI_NUMBER_OF_CASES,NUMBER OF CASES,,,Number of cases included in measure calculation,2016,DECIMAL_0,LOWER,1/1/2016,12/31/2016,IPPS Final Rule,
