REPORT,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME
CMS STARS REPORT,MEASURE GROUP SCORES,MORTALITY,DOMAIN SCORE,Domain Score
CMS STARS REPORT,MEASURE GROUP SCORES,PATIENT EXPERIENCE,DOMAIN SCORE,Domain Score
CMS STARS REPORT,MEASURE GROUP SCORES,READMISSION,DOMAIN SCORE,Domain Score
CMS STARS REPORT,MEASURE GROUP SCORES,SAFETY,DOMAIN SCORE,Domain Score
CMS STARS REPORT,MEASURE GROUP SCORES,SAFETY OF CARE,DOMAIN SCORE,Domain Score
CMS STARS REPORT,MEASURE GROUP SCORES,TIMELY AND EFFECTIVE CARE,DOMAIN SCORE,Domain Score
CMS STARS REPORT,PERFORMANCE INFORMATION,MORTALITY,HYBRID_HWM_RSMR,Rate of mortality after discharge from hospital (hospital-wide)
CMS STARS REPORT,PERFORMANCE INFORMATION,MORTALITY,MORT_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Mortality Rate
CMS STARS REPORT,PERFORMANCE INFORMATION,MORTALITY,MORT_30_CABG,30-Day All-Cause Mortality Following Coronary Artery Bypass Graft (CABG) Surgery
CMS STARS REPORT,PERFORMANCE INFORMATION,MORTALITY,MORT_30_COPD,Chronic Obstructive Pulmonary Disease (COPD) 30-Day Mortality Rate
CMS STARS REPORT,PERFORMANCE INFORMATION,MORTALITY,MORT_30_HF,Heart Failure (HF) 30-Day Mortality Rate
CMS STARS REPORT,PERFORMANCE INFORMATION,MORTALITY,MORT_30_PN,Pneumonia 30-Day Mortality Rate
CMS STARS REPORT,PERFORMANCE INFORMATION,MORTALITY,MORT_30_STK,Acute Ischemic Stroke (STK) 30-Day Mortality Rate
CMS STARS REPORT,PERFORMANCE INFORMATION,MORTALITY,PSI_4_SURG_COMP,Death rate among surgical inpatients with serious treatable complications
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_CLEAN_LINEAR_SCORE,Cleanliness of Hospital Environment
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_COMP_1_LINEAR_SCORE,Nurse communication
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_COMP_1_STAR_RATING,Nurse communication
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_COMP_2_LINEAR_SCORE,Doctor communication
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_COMP_2_STAR_RATING,Doctor communication
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_COMP_3_LINEAR_SCORE,Staff responsiveness
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_COMP_3_STAR_RATING,Staff responsiveness
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_COMP_5_LINEAR_SCORE,Communication about medicines
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_COMP_5_STAR_RATING,Communication about medicines
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_COMP_6_LINEAR_SCORE,Discharge information
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_COMP_6_STAR_RATING,Discharge information
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_COMP_7_LINEAR_SCORE,Care transition
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_COMP_7_STAR_RATING,Care transition
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_GLOB_STAR_RATING,Overall Rating/Willingness to Recommend Hospital
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_HSP_RATING_LINEAR_SCORE,Overall Rating of Hospital
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_INDI_STAR_RATING,Cleanliness/Quietness of Hospital Environment
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_QUIET_LINEAR_SCORE,Quietness of Hospital Environment
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,H_RECMND_LINEAR_SCORE,Willingness to Recommend this Hospital
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,O-COMP-1,Facilities and Staff
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,O-COMP-2,Communications about Procedures
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,O-COMP-3,Preparing for Discharge and Recovery
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,O-PATIENT-RATE,Patients' Rating of the Facility
CMS STARS REPORT,PERFORMANCE INFORMATION,PATIENT EXPERIENCE,O-PATIENT-REC,Patients' Recommending the Facility
CMS STARS REPORT,PERFORMANCE INFORMATION,READMISSION,EDAC_30_AMI,Excess Days in Acute Care after Hospitalization for Acute Myocardial Infarction
CMS STARS REPORT,PERFORMANCE INFORMATION,READMISSION,EDAC_30_HF,Excess Days in Acute Care after Hospitalization for Heart Failure
CMS STARS REPORT,PERFORMANCE INFORMATION,READMISSION,EDAC_30_PN,Excess Days in Acute Care after Hospitalization for Pneumonia
CMS STARS REPORT,PERFORMANCE INFORMATION,READMISSION,HYBRID_HWR,
CMS STARS REPORT,PERFORMANCE INFORMATION,READMISSION,OP_32,Facility 7-Day Risk Standardized Hospital Visit Rate after Outpatient Colonoscopy
CMS STARS REPORT,PERFORMANCE INFORMATION,READMISSION,OP_35_ADM,Admissions for patients receiving outpatient chemotherapy
CMS STARS REPORT,PERFORMANCE INFORMATION,READMISSION,OP_35_ED,Emergency department (ED) visits for patients receiving outpatient chemotherapy
CMS STARS REPORT,PERFORMANCE INFORMATION,READMISSION,OP_36,Hospital visits after hospital outpatient surgery
CMS STARS REPORT,PERFORMANCE INFORMATION,READMISSION,READM_30_CABG,30-Day All-Cause Unplanned Readmission Following Coronary Artery Bypass Graft Surgery (CABG)
CMS STARS REPORT,PERFORMANCE INFORMATION,READMISSION,READM_30_COPD,Chronic Obstructive Pulmonary Disease (COPD) 30-Day Readmission Rate
CMS STARS REPORT,PERFORMANCE INFORMATION,READMISSION,READM_30_HIP_KNEE,30-Day Readmission Rate Following Elective Primary Total Hip Arthroplasty (THA) and/or Total Knee Arthroplasty
CMS STARS REPORT,PERFORMANCE INFORMATION,READMISSION,READM_30_HOSP_WIDE,30-Day Hospital-Wide All-Cause Unplanned Readmission Rate
CMS STARS REPORT,PERFORMANCE INFORMATION,SAFETY,COMP_HIP_KNEE,
CMS STARS REPORT,PERFORMANCE INFORMATION,SAFETY,HAI_1,
CMS STARS REPORT,PERFORMANCE INFORMATION,SAFETY,HAI_2,
