REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,PACEMAKER IMPLANTATION,,,,Patients Recover at Home Score (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,PACEMAKER IMPLANTATION,,,,Hospital Readmission Prevention Score (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,STROKE,,,,Patients Recover at Home Predicted Value (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,KNEE REPLACEMENT,,,,Surgical Site Infection Band (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HEART BYPASS SURGERY,,,,Prevention of Stroke Random Effects (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,GYNECOLOGICAL CANCER SURGERY,,,,Patient Experience with Nursing Care Linear Score (HCAHPS) (Process),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,STROKE,,,,Patients Recover at Home Score (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,PNEUMONIA,,,,Mortality Random Effects Standard Error (Fee-For-Service & Medicare Advantage Data) (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,DIABETES,,,,Patient Experience Band (Process),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HEART ARRHYTHMIA,,,,Patients Discharged Not to Home Event Count (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,ABDOMINAL AORTIC ANEURYSM REPAIR,,,,Patients Recover at Home Points (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HEART BYPASS SURGERY,,,,Patients Discharged Home Score (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,KNEE REPLACEMENT,,,,Surgical Site Infection Denominator (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HEART ARRHYTHMIA,,,,Number of Patients (Fee-For-Service Data) (Structure),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HEART FAILURE,,,,Number of Patients Band (Fee-For-Service & Medicare Advantage Data) (Structure),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HEART FAILURE,,,,Mortality Predicted Value (Medicare Advantage Data) (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HEART ARRHYTHMIA,,,,Patient Experience with Nursing Care Score (HCAHPS) (Process),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,DIABETES,,,,Patients Recover at Home Random Effects (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,STROKE,,,,Number of Patients (Medicare Advantage Data) (Structure),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HEART ARRHYTHMIA,,,,U.S. News Overall Rating (U.S. News Values),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,PROSTATE CANCER SURGERY,,,,Prevention of Outpatient Procedural Complications Score (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HEART ARRHYTHMIA,,,,Patients Discharged Home Denominator (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HEART ATTACK,,,,Mortality Random Effects (Medicare Advantage Data) (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,ABDOMINAL AORTIC ANEURYSM REPAIR,,,,Patients Recover at Home Random Effects (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,DIABETES,,,,Summation of Outcome Components (U.S. News Values),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,STROKE,,,,Mortality Random Effects Standard Error (Medicare Advantage Data) (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HIP FRACTURE,,,,Hospital Readmission Prevention Random Effects Standard Error (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,"LEUKEMIA, LYMPHOMA, AND MYELOMA",,,,Hospital Readmission Prevention Denominator (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,BACK SURGERY (SPINAL FUSION),,,,Mortality Denominator (Fee-For-Service & Medicare Advantage Data) (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,STROKE,,,,Mortality Event Count (Fee-For-Service Data) (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,ACUTE KIDNEY FAILURE,,,,Mortality Odds Ratio (Fee-For-Service Data) (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD),,,,U.S. News Composite Score (U.S. News Values),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,PACEMAKER IMPLANTATION,,,,Patients Recover at Home Points (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HIP REPLACEMENT,,,,Surgical Site Infection Score (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,GYNECOLOGICAL CANCER SURGERY,,,,Patients Recover at Home Band (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,PACEMAKER IMPLANTATION,,,,Summation of Outcome Components (U.S. News Values),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HEART BYPASS SURGERY,,,,Mortality Odds Ratio (Medicare Advantage Data) (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,COLON CANCER SURGERY,,,,Mortality Random Effects (Fee-For-Service & Medicare Advantage Data) (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,LUNG CANCER SURGERY,,,,Number of Patients (Fee-For-Service Data) (Structure),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,DIABETES,,,,Patients Recover at Home Average Days (Outcomes),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,HIP FRACTURE,,,,Patient Experience with Nursing Care Linear Score (HCAHPS) (Process),,,,,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2026,2026-2027,,"LEUKEMIA, LYMPHOMA, AND MYELOMA",,,,U.S. News Overall Rating (U.S. News Values),,,,,,,,
