REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_TYPE,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
CMS STARS REPORT,4/1/2021,2021,PERFORMANCE INFORMATION,SAFETY OF CARE,COMP_HIP_KNEE,COMPLICATION RATE FOLLOWING ELECTIVE PRIMARY TOTAL HIP ARTHROPLASTY (THA) AND/OR TOTAL KNEE ARTHROPLASTY (TKA),,,Observed complications / Expected complications (risk-adjusted),Outcome,,PERCENT_1,LOWER,4/1/2016,3/31/2019,Complications_and_Deaths-Hospital,
CMS STARS REPORT,7/1/2022,2022,PERFORMANCE INFORMATION,SAFETY OF CARE,COMP_HIP_KNEE,COMPLICATION RATE FOLLOWING ELECTIVE PRIMARY TOTAL HIP ARTHROPLASTY (THA) AND/OR TOTAL KNEE ARTHROPLASTY (TKA),,,Observed complications / Expected complications (risk-adjusted),Outcome,,PERCENT_1,LOWER,4/1/2018,3/31/2021,Complications_and_Deaths-Hospital,
CMS STARS REPORT,7/1/2023,2023,PERFORMANCE INFORMATION,SAFETY OF CARE,COMP_HIP_KNEE,COMPLICATION RATE FOLLOWING ELECTIVE PRIMARY TOTAL HIP ARTHROPLASTY (THA) AND/OR TOTAL KNEE ARTHROPLASTY (TKA),,,Observed complications / Expected complications (risk-adjusted),Outcome,,PERCENT_1,LOWER,4/1/2019,3/31/2022,Complications_and_Deaths-Hospital,
CMS STARS REPORT,7/1/2024,2024,PERFORMANCE INFORMATION,SAFETY OF CARE,COMP_HIP_KNEE,COMPLICATION RATE FOLLOWING ELECTIVE PRIMARY TOTAL HIP ARTHROPLASTY (THA) AND/OR TOTAL KNEE ARTHROPLASTY (TKA),,,Observed complications / Expected complications (risk-adjusted),Outcome,,PERCENT_1,LOWER,4/1/2020,3/31/2023,Complications_and_Deaths-Hospital,
CMS STARS REPORT,7/1/2025,2025,PERFORMANCE INFORMATION,SAFETY OF CARE,COMP_HIP_KNEE,COMPLICATION RATE FOLLOWING ELECTIVE PRIMARY TOTAL HIP ARTHROPLASTY (THA) AND/OR TOTAL KNEE ARTHROPLASTY (TKA),,,Observed complications / Expected complications (risk-adjusted),Outcome,,PERCENT_1,LOWER,4/1/2021,3/31/2024,Complications_and_Deaths-Hospital,
CMS STARS REPORT,5/1/2026,2026,PERFORMANCE INFORMATION,SAFETY OF CARE,COMP_HIP_KNEE,COMPLICATION RATE FOLLOWING ELECTIVE PRIMARY TOTAL HIP ARTHROPLASTY (THA) AND/OR TOTAL KNEE ARTHROPLASTY (TKA),,,Observed complications / Expected complications (risk-adjusted),Outcome,,PERCENT_1,LOWER,4/1/2021,3/31/2024,Complications_and_Deaths-Hospital,
CMS STARS REPORT,4/1/2021,2021,PERFORMANCE INFORMATION,TIMELY AND EFFECTIVE CARE,ED_2B,ADMIT DECISION TIME TO ED DEPARTURE TIME FOR ADMITTED PATIENTS,,,Median minutes from admit decision to ED departure for admitted patients,Process,,DECIMAL_0,LOWER,1/1/2019,12/31/2019,,
CMS STARS REPORT,4/1/2021,2021,PERFORMANCE INFORMATION,READMISSION,EDAC_30_AMI,EXCESS DAYS IN ACUTE CARE AFTER HOSPITALIZATION FOR ACUTE MYOCARDIAL INFARCTION,,,Excess days in acute care per 100 discharges (risk-adjusted),Outcome,,DECIMAL_1,LOWER,7/1/2016,6/30/2019,Unplanned_Hospital_Visits-Hospital,
CMS STARS REPORT,7/1/2022,2022,PERFORMANCE INFORMATION,READMISSION,EDAC_30_AMI,EXCESS DAYS IN ACUTE CARE AFTER HOSPITALIZATION FOR ACUTE MYOCARDIAL INFARCTION,,,Excess days in acute care per 100 discharges (risk-adjusted),Outcome,,DECIMAL_1,LOWER,7/1/2018,6/30/2021,Unplanned_Hospital_Visits-Hospital,
CMS STARS REPORT,7/1/2023,2023,PERFORMANCE INFORMATION,READMISSION,EDAC_30_AMI,EXCESS DAYS IN ACUTE CARE AFTER HOSPITALIZATION FOR ACUTE MYOCARDIAL INFARCTION,,,Excess days in acute care per 100 discharges (risk-adjusted),Outcome,,DECIMAL_1,LOWER,7/1/2019,6/30/2022,Unplanned_Hospital_Visits-Hospital,
