FACILITY_ID,FACILITY_NAME,ADDRESS,CITYTOWN,STATE,ZIP_CODE,COUNTY_PARISH,TELEPHONE_NUMBER,HOSPITAL_TYPE,HOSPITAL_OWNERSHIP,EMERGENCY_SERVICES,BIRTHING_FRIENDLY_HOSPITAL,LATITUDE,LONGITUDE
400125,HIMA-SAN PABLO FAJARDO,GENERAL VALERO AVE#404,FAJARDO,PR,738,FAJARDO,(787) 655-0505,Acute Care Hospitals,Proprietary,TRUE,TRUE,18.33672,-65.65449
400141,CENTRO MEDICO DEL NORESTE,404 AVE GENERAL VALERO,FAJARDO,PR,738,FAJARDO,(787) 863-0505,Acute Care Hospitals,Proprietary,TRUE,FALSE,18.33672,-65.65449
400133,HIMA SAN PABLO CUPEY,CARR 844 KM 5 CUPEY BAJO,SAN JUAN,PR,928,SAN JUAN,(787) 761-8383,Acute Care Hospitals,Proprietary,TRUE,TRUE,,
224046,MIRAVISTA BEHAVIORAL HEALTH CENTER,1233 MAIN STREET,HOLYOKE,MA,1040,HAMPDEN,(413) 701-2600,Psychiatric,Proprietary,FALSE,FALSE,42.1659,-72.634
223303,SHRINERS' HOSPITAL FOR CHILDREN (THE),516 CAREW STREET,SPRINGFIELD,MA,1104,HAMPDEN,(413) 787-2000,Childrens,Voluntary non-profit - Private,FALSE,FALSE,42.12132,-72.59237
200019,SOUTHERN MAINE HEALTH CARE,1 MEDICAL CENTER DRIVE,BIDDEFORD,ME,4005,YORK,(207) 283-7000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,43.47751,-70.49038
200037,FRANKLIN MEMORIAL HOSPITAL,111 FRANKLIN HEALTH COMMONS,FARMINGTON,ME,4938,FRANKLIN,(207) 778-6031,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,44.62663,-70.16287
70040,HEBREW HOME AND HOSPITAL INC,1 ABRAHMS BOULEVARD,WEST HARTFORD,CT,6117,HARTFORD,(860) 523-3800,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,FALSE,41.80293,-72.72927
70039,MASONICARE HEALTH CENTER HOSPITAL,22 MASONIC AVE,WALLINGFORD,CT,6492,NEW HAVEN,(203) 679-5900,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,FALSE,41.46271,-72.83624
314021,HAMPTON BEHAVIORAL HEALTH CENTER,650 RANCOCAS ROAD,WESTAMPTON,NJ,8060,BURLINGTON,(609) 267-7000,Psychiatric,Proprietary,FALSE,FALSE,40.00819,-74.84686
310091,SALEM MEDICAL CENTER,310 SALEM WOODSTOWN ROAD,SALEN,NJ,8079,SALEM,(856) 935-1000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,39.59379,-75.444
310081,INSPIRA MEDICAL CENTER WOODBURY,509 N BROAD ST,WOODBURY,NJ,8096,GLOUCESTER,(856) 845-0100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,39.84386,-75.14947
314026,EAST MOUNTAIN HOSPITAL,40 EAST MOUNTAIN ROAD,BELLE MEAD,NJ,8502,SOMERSET,(908) 281-1500,Psychiatric,Voluntary non-profit - Private,FALSE,FALSE,40.46762,-74.6852
310021,ST FRANCIS MEDICAL CENTER,601 HAMILTON AVE,TRENTON,NJ,8629,MERCER,(609) 599-5000,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,FALSE,40.21652,-74.74165
310131,HACKENSACK MERIDIAN LTACH,"530 NEW BRUNSWICK AVENUE, 4TH FLOOR/GREEN",PERTH AMBOY,NJ,8861,MIDDLESEX,(732) 324-4714,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,FALSE,40.51903,-74.2805
